States,Years,Quarters,District,Transaction_count,Transaction_amount
Manipur,2020,1,senapati district,9922,18344875.73618003
Manipur,2020,1,pherzawl district,982,1624394.409407775
Manipur,2020,1,churachandpur district,33637,84566221.4462608
Manipur,2020,1,tengnoupal district,12297,33219739.52686035
Manipur,2020,1,imphal west district,471392,1799193747.3658042
Manipur,2020,2,kangpokpi district,48617,105034881.0369594
Manipur,2020,2,noney district,14604,44082720.74102519
Manipur,2020,2,imphal east district,127255,269647863.435566
Manipur,2020,2,thoubal district,66183,158615301.5132838
Manipur,2020,2,kakching district,30404,53791181.45126964
Manipur,2020,2,jiribam district,13861,28862256.51424871
Manipur,2020,2,ukhrul district,24243,43560417.96634197
Manipur,2020,2,tamenglong district,21294,47020896.803083815
Manipur,2020,2,kamjong district,4430,11168145.84426119
Manipur,2020,2,chandel district,21517,49008541.100852005
Manipur,2020,2,bishnupur district,70841,142299534.9528148
Manipur,2020,2,senapati district,17187,27792929.584587093
Manipur,2020,2,pherzawl district,1363,4220742.5953207435
Manipur,2020,2,churachandpur district,50818,128936170.2549285
Manipur,2020,2,tengnoupal district,18676,50033115.3184253
Manipur,2020,2,imphal west district,551775,2034861513.6925411
Manipur,2020,3,kangpokpi district,56646,141494952.88474348
Manipur,2020,3,noney district,12955,42576247.008017324
Manipur,2020,3,imphal east district,148992,357420385.4660148
Manipur,2020,3,thoubal district,75667,178314817.4095067
Manipur,2020,3,kakching district,33268,72744605.62932977
Manipur,2020,3,jiribam district,17173,44785891.804611705
Manipur,2020,3,ukhrul district,27857,63120519.96337035
Manipur,2020,3,tamenglong district,24595,57102594.74572652
Manipur,2020,3,kamjong district,5040,16944663.48515765
Manipur,2020,3,chandel district,25158,63504521.07112962
Manipur,2020,3,bishnupur district,82097,178752852.0332132
Manipur,2020,3,senapati district,22336,47618195.96020885
Manipur,2020,3,pherzawl district,2016,4920973.997680077
Manipur,2020,3,churachandpur district,61160,179008408.76793513
Manipur,2020,3,tengnoupal district,19244,50761115.422037035
Manipur,2020,3,imphal west district,805964,3116905375.221828
Manipur,2020,4,kangpokpi district,74472,216458503.2885683
Manipur,2020,4,noney district,14618,52819316.83640482
Manipur,2020,4,imphal east district,179438,524041651.0001225
Manipur,2020,4,thoubal district,87208,249311101.38298762
Manipur,2020,4,kakching district,37180,96767393.90324816
Manipur,2020,4,jiribam district,19898,56276520.99872882
Manipur,2020,4,ukhrul district,32947,91688189.17603046
Manipur,2020,4,tamenglong district,27674,77956516.78360562
Manipur,2020,4,kamjong district,6676,21815826.79135724
Manipur,2020,4,chandel district,31540,90473275.49273106
Manipur,2020,4,bishnupur district,95869,267444206.3886954
Manipur,2020,4,senapati district,27636,79537295.38666978
Manipur,2020,4,pherzawl district,2329,4810299.528864712
Manipur,2020,4,churachandpur district,71693,243354880.5430908
Manipur,2020,4,tengnoupal district,23797,81989716.0059573
Manipur,2020,4,imphal west district,894877,3447479864.951691
Manipur,2021,1,kangpokpi district,63234,205050443.8236801
Manipur,2021,1,noney district,12635,47249169.68840321
Manipur,2021,1,imphal east district,161841,530028907.0928848
Manipur,2021,1,thoubal district,72593,240713473.6681419
Manipur,2021,1,kakching district,29803,92307870.36114596
Manipur,2021,1,jiribam district,16697,58448279.737162024
Manipur,2021,1,ukhrul district,22415,68745913.46443734
Manipur,2021,1,tamenglong district,20962,72960342.05136192
Manipur,2021,1,kamjong district,6312,24926447.76105148
Manipur,2021,1,chandel district,23884,80445733.20656839
Manipur,2021,1,bishnupur district,73777,255486792.7272072
Manipur,2021,1,senapati district,22025,73777202.5143657
Manipur,2021,1,pherzawl district,1714,4788028.467703758
Manipur,2021,1,churachandpur district,62755,250250943.4094815
Manipur,2021,1,tengnoupal district,19430,102554591.1971744
Manipur,2021,1,imphal west district,1693458,4962553375.308464
Manipur,2021,2,kangpokpi district,78765,236369410.09906262
Manipur,2021,2,noney district,13296,49460189.27496501
Manipur,2021,2,imphal east district,179337,491977805.97917175
Manipur,2021,2,thoubal district,91264,268514237.4881531
Manipur,2021,2,kakching district,37444,92311646.34027097
Manipur,2021,2,jiribam district,21823,67560643.64335921
Manipur,2021,2,ukhrul district,28524,81225585.7217874
Manipur,2021,2,tamenglong district,24852,77929754.45097202
Manipur,2021,2,kamjong district,6983,31394830.19574834
Manipur,2021,2,chandel district,29178,90054101.93360363
Manipur,2021,2,bishnupur district,89095,260900495.16290623
Manipur,2021,2,senapati district,25681,70219657.8819672
Manipur,2021,2,pherzawl district,1842,5443830.799674254
Manipur,2021,2,churachandpur district,80524,273962339.39499444
Manipur,2021,2,tengnoupal district,23771,94806974.44450317
Manipur,2021,2,imphal west district,2353896,5697696459.585503
Manipur,2021,3,kangpokpi district,94883,299760833.4043892
Manipur,2021,3,noney district,16371,63161488.24690457
Manipur,2021,3,imphal east district,226128,705081475.2381085
Manipur,2021,3,thoubal district,113257,363547884.1177802
Manipur,2021,3,kakching district,44277,128692670.008053
Manipur,2021,3,jiribam district,26615,80773937.39020778
Manipur,2021,3,ukhrul district,35250,118509943.9038784
Manipur,2021,3,tamenglong district,33266,108769884.2048046
Manipur,2021,3,kamjong district,7567,32384455.496498212
Manipur,2021,3,chandel district,36126,116052040.7894788
Manipur,2021,3,bishnupur district,104901,320379628.19769484
Manipur,2021,3,senapati district,30580,94805880.65418251
Manipur,2021,3,pherzawl district,2176,6654015.070624737
Manipur,2021,3,churachandpur district,109913,397548796.56202096
Manipur,2021,3,tengnoupal district,32351,133669134.5931719
Manipur,2021,3,imphal west district,3027735,7437068961.027055
Manipur,2021,4,kangpokpi district,107329,318563859.8204655
Manipur,2021,4,noney district,18970,68519523.59000592
Manipur,2021,4,imphal east district,268205,853764884.9988655
Manipur,2021,4,thoubal district,130316,393043161.28167003
Manipur,2021,4,kakching district,43224,130159064.31913412
Manipur,2021,4,jiribam district,30742,97241435.32166685
Manipur,2021,4,ukhrul district,38665,142778895.310459
Manipur,2021,4,tamenglong district,40279,140792582.9323008
Manipur,2021,4,kamjong district,8685,32152837.655377
Manipur,2021,4,chandel district,39891,131651667.09783672
Manipur,2021,4,bishnupur district,113386,369885898.8351996
Manipur,2021,4,senapati district,33983,119108747.24317981
Manipur,2021,4,pherzawl district,2553,4851553.5065681385
Manipur,2021,4,churachandpur district,121140,446895232.6851511
Manipur,2021,4,tengnoupal district,40383,154956864.2361688
Manipur,2021,4,imphal west district,3649688,9254105829.377777
Manipur,2022,1,kangpokpi district,120614,361422857.4778744
Manipur,2022,1,noney district,21683,81975537.65019314
Manipur,2022,1,imphal east district,298053,926298622.7916505
Manipur,2022,1,thoubal district,159443,465999965.9324683
Manipur,2022,1,kakching district,45714,129009720.3630175
Manipur,2022,1,jiribam district,33214,106952141.35335831
Manipur,2022,1,ukhrul district,45977,163211543.8876433
Manipur,2022,1,tamenglong district,53325,182059187.8775179
Manipur,2022,1,kamjong district,10050,38396927.57850355
Manipur,2022,1,chandel district,46964,156821048.3314056
Manipur,2022,1,bishnupur district,129775,410979761.5959294
Manipur,2022,1,senapati district,41815,150533112.28282663
Manipur,2022,1,pherzawl district,3014,6196514.84182024
Manipur,2022,1,churachandpur district,132079,478282953.14129984
Manipur,2022,1,tengnoupal district,42399,154983910.95505172
Manipur,2022,1,imphal west district,4129560,10331377272.313229
Manipur,2022,2,kangpokpi district,127346,360381229.2430087
Manipur,2022,2,noney district,23197,84254940.12916884
Manipur,2022,2,imphal east district,334382,1017003992.8811901
Manipur,2022,2,thoubal district,179962,489921006.2514488
Manipur,2022,2,kakching district,45754,124881636.1664599
Manipur,2022,2,jiribam district,32691,103428721.09010841
Manipur,2022,2,ukhrul district,48388,165524493.50724018
Manipur,2022,2,tamenglong district,48779,158669784.21199042
Manipur,2022,2,kamjong district,10915,37728133.78568862
Manipur,2022,2,chandel district,44845,161255425.28835762
Manipur,2022,2,bishnupur district,132234,427663723.98262036
Manipur,2022,2,senapati district,43777,137415599.8970158
Manipur,2022,2,pherzawl district,2855,8843983.191407474
Manipur,2022,2,churachandpur district,130821,445674066.47566885
Manipur,2022,2,tengnoupal district,41686,165158485.2610599
Manipur,2022,2,imphal west district,4858000,11035105413.78687
Manipur,2022,3,kangpokpi district,137088,382055039.8651606
Manipur,2022,3,noney district,24931,85439369.23237865
Manipur,2022,3,imphal east district,401052,1106024473.265097
Manipur,2022,3,thoubal district,198398,502784611.8050358
Manipur,2022,3,kakching district,114178,269711112.4549243
Manipur,2022,3,jiribam district,39634,115824259.8786857
Manipur,2022,3,ukhrul district,48127,165404721.9164956
Manipur,2022,3,tamenglong district,48889,150947198.9523353
Manipur,2022,3,kamjong district,10597,34540807.45741892
Manipur,2022,3,chandel district,43042,139937266.69668728
Manipur,2022,3,bishnupur district,126573,397535713.95992273
Manipur,2022,3,senapati district,46116,141106697.6418018
Manipur,2022,3,pherzawl district,3137,8974350.656289712
Manipur,2022,3,churachandpur district,200968,560754898.7150536
Manipur,2022,3,tengnoupal district,44324,167247032.0149524
Manipur,2022,3,imphal west district,4865688,11153142712.787481
Manipur,2022,4,kangpokpi district,195796,499527018.9345386
Manipur,2022,4,noney district,26985,75780551.02724609
Manipur,2022,4,imphal east district,417476,1124061241.845398
Manipur,2022,4,thoubal district,252156,642341521.1672155
Manipur,2022,4,kakching district,205827,477287512.8489387
Manipur,2022,4,jiribam district,43510,122910899.3036135
Manipur,2022,4,ukhrul district,48379,164810102.766275
Manipur,2022,4,tamenglong district,51040,160602196.99791262
Manipur,2022,4,kamjong district,12943,35804745.19811843
Manipur,2022,4,chandel district,45646,133101652.3013483
Manipur,2022,4,bishnupur district,134155,398215642.6664851
Manipur,2022,4,senapati district,63745,180730794.84235078
Manipur,2022,4,pherzawl district,3998,12008369.412046429
Manipur,2022,4,churachandpur district,139622,418292018.1391273
Manipur,2022,4,tengnoupal district,49553,175755833.19199598
Manipur,2022,4,imphal west district,4737839,11004726597.69887
Manipur,2023,1,kangpokpi district,211256,520765460.99999994
Manipur,2023,1,noney district,42474,105173659.99999999
Manipur,2023,1,imphal east district,659880,1637025593.0000002
Manipur,2023,1,thoubal district,315961,796620060.0
Manipur,2023,1,kakching district,73843,198151744.00000003
Manipur,2023,1,jiribam district,77431,212799071.00000003
Manipur,2023,1,ukhrul district,83455,267514824.0
Manipur,2023,1,tamenglong district,86492,231452890.0
Manipur,2023,1,kamjong district,14147,46200306.0
Manipur,2023,1,chandel district,71874,194324741.0
Manipur,2023,1,bishnupur district,231239,626631062.0
Manipur,2023,1,senapati district,94404,252756547.99999997
Manipur,2023,1,pherzawl district,7046,16737449.0
Manipur,2023,1,churachandpur district,221158,582341436.0
Manipur,2023,1,tengnoupal district,79811,294235941.0
Manipur,2023,1,imphal west district,987912,2602833306.0
Manipur,2023,2,kangpokpi district,96061,265835614.0
Manipur,2023,2,noney district,19828,52589124.0
Manipur,2023,2,imphal east district,332809,855990060.0000001
Manipur,2023,2,thoubal district,155290,412755825.0
Manipur,2023,2,kakching district,34781,104524162.00000001
Manipur,2023,2,jiribam district,53949,153237238.0
Manipur,2023,2,ukhrul district,41027,131978491.00000001
Manipur,2023,2,tamenglong district,42991,121710165.0
Manipur,2023,2,kamjong district,6735,19646588.0
Manipur,2023,2,chandel district,32757,105500017.0
Manipur,2023,2,bishnupur district,108042,304861281.0
Manipur,2023,2,senapati district,49144,139357712.0
Manipur,2023,2,pherzawl district,4764,13802243.0
Manipur,2023,2,churachandpur district,108049,309376954.0
Manipur,2023,2,tengnoupal district,35862,125510737.0
Manipur,2023,2,imphal west district,484182,1347200442.0
Manipur,2023,3,kangpokpi district,60374,270393444.0
Manipur,2023,3,noney district,3054,9696801.0
Manipur,2023,3,imphal east district,195597,762942643.0
Manipur,2023,3,thoubal district,70780,289941575.0
Manipur,2023,3,kakching district,17007,68770946.0
Manipur,2023,3,jiribam district,48471,170419988.0
Manipur,2023,3,ukhrul district,18404,74546308.0
Manipur,2023,3,tamenglong district,21706,105176706.99999999
Manipur,2023,3,kamjong district,1252,3987258.0
Manipur,2023,3,chandel district,8965,43558430.99999999
Manipur,2023,3,bishnupur district,52074,228769250.99999997
Manipur,2023,3,senapati district,25056,88162234.0
Manipur,2023,3,pherzawl district,2914,9863352.0
Manipur,2023,3,churachandpur district,43375,215267198.0
Manipur,2023,3,tengnoupal district,13210,74417046.0
Manipur,2023,3,imphal west district,283239,1192373419.0
Manipur,2023,4,kangpokpi district,143024,482630626.0
Manipur,2023,4,noney district,19982,61939488.0
Manipur,2023,4,imphal east district,466350,1424311158.0
Manipur,2023,4,thoubal district,193084,587381961.0
Manipur,2023,4,kakching district,41110,132051701.00000001
Manipur,2023,4,jiribam district,79450,216717452.0
Manipur,2023,4,ukhrul district,48581,176550849.0
Manipur,2023,4,tamenglong district,53369,169026544.0
Manipur,2023,4,kamjong district,7304,25527546.0
Manipur,2023,4,chandel district,32884,104621119.99999999
Manipur,2023,4,bishnupur district,158304,517891073.0
Manipur,2023,4,senapati district,55235,143200212.0
Manipur,2023,4,pherzawl district,3365,12293316.0
Manipur,2023,4,churachandpur district,123502,463823678.0
Manipur,2023,4,tengnoupal district,41858,171499388.0
Manipur,2023,4,imphal west district,645798,2110859186.0
Meghalaya,2018,1,north garo hills district,922,652554.6654640209
Meghalaya,2018,1,south west khasi hills district,319,489330.8331522482
Meghalaya,2018,1,west garo hills district,7660,9199200.848858135
Meghalaya,2018,1,south garo hills district,705,807410.0407250253
Meghalaya,2018,1,east jaintia hills district,4896,8299361.376028441
Meghalaya,2018,1,south west garo hills district,798,1015597.2351604333
Meghalaya,2018,1,east khasi hills district,23283,31807959.17537334
Meghalaya,2018,1,east garo hills district,749,781579.3759249721
Meghalaya,2018,1,ribhoi district,6029,8736566.953918608
Meghalaya,2018,1,west jaintia hills district,3131,2812937.948004551
Meghalaya,2018,1,west khasi hills district,1079,1647761.3372907462
Meghalaya,2018,2,north garo hills district,1403,1278347.188045342
Meghalaya,2018,2,south west khasi hills district,396,311487.1929993931
Meghalaya,2018,2,west garo hills district,10651,19685429.15426454
Meghalaya,2018,2,south garo hills district,1103,1553253.9322072896
Meghalaya,2018,2,east jaintia hills district,6004,13059945.84304524
Meghalaya,2018,2,south west garo hills district,1767,1724404.6747075585
Meghalaya,2018,2,east khasi hills district,33966,61180700.479729906
Meghalaya,2018,2,east garo hills district,832,1032161.1690227182
Meghalaya,2018,2,ribhoi district,8761,14181827.91983224
Meghalaya,2018,2,west jaintia hills district,2232,2312980.3326936862
Meghalaya,2018,2,west khasi hills district,742,684129.9552836155
Meghalaya,2018,3,north garo hills district,2271,1976480.2056813869
Meghalaya,2018,3,south west khasi hills district,1032,1016289.6491765348
Meghalaya,2018,3,west garo hills district,17911,31488596.439377252
Meghalaya,2018,3,south garo hills district,2110,2467349.2565310476
Meghalaya,2018,3,east jaintia hills district,11397,22683448.874125842
Meghalaya,2018,3,south west garo hills district,2740,4294444.447825844
Meghalaya,2018,3,east khasi hills district,54015,111173160.2625644
Meghalaya,2018,3,east garo hills district,1323,1963470.7809556075
Meghalaya,2018,3,ribhoi district,13023,26072883.30165547
Meghalaya,2018,3,west jaintia hills district,3240,4571330.11958733
Meghalaya,2018,3,west khasi hills district,1228,2146208.196912882
Meghalaya,2018,4,north garo hills district,4011,4590211.2600644585
Meghalaya,2018,4,south west khasi hills district,1518,2669874.2649973836
Meghalaya,2018,4,west garo hills district,29000,52674487.37349704
Meghalaya,2018,4,south garo hills district,3037,6001319.0968858795
Meghalaya,2018,4,east jaintia hills district,20614,37885027.67424764
Meghalaya,2018,4,south west garo hills district,3950,4531236.407859931
Meghalaya,2018,4,east khasi hills district,70386,167808906.7795516
Meghalaya,2018,4,east garo hills district,2808,5832920.4836901445
Meghalaya,2018,4,ribhoi district,18294,42066652.87282289
Meghalaya,2018,4,west jaintia hills district,4693,7562803.76113517
Meghalaya,2018,4,west khasi hills district,2821,5962239.029920495
Meghalaya,2019,1,north garo hills district,3816,4016398.1062618718
Meghalaya,2019,1,south west khasi hills district,1267,2118829.321976449
Meghalaya,2019,1,west garo hills district,30087,58548564.168713726
Meghalaya,2019,1,south garo hills district,3146,7486873.33081286
Meghalaya,2019,1,east jaintia hills district,25054,46007520.563186996
Meghalaya,2019,1,south west garo hills district,3819,4558241.545395774
Meghalaya,2019,1,east khasi hills district,101662,201352082.70276007
Meghalaya,2019,1,east garo hills district,3529,6495149.290021526
Meghalaya,2019,1,ribhoi district,27304,55813436.16699861
Meghalaya,2019,1,west jaintia hills district,5411,7594602.551824972
Meghalaya,2019,1,west khasi hills district,3646,5045464.405482588
Meghalaya,2019,2,north garo hills district,3804,4329558.19180281
Meghalaya,2019,2,south west khasi hills district,1152,2679006.93031867
Meghalaya,2019,2,west garo hills district,32077,70701852.43602182
Meghalaya,2019,2,south garo hills district,3048,7076537.051932728
Meghalaya,2019,2,east jaintia hills district,21325,43624217.35616366
Meghalaya,2019,2,south west garo hills district,4563,6981663.150095232
Meghalaya,2019,2,east khasi hills district,126665,274701980.6037081
Meghalaya,2019,2,east garo hills district,3926,6785815.738085165
Meghalaya,2019,2,ribhoi district,27488,61625177.51082604
Meghalaya,2019,2,west jaintia hills district,5226,9713762.898637522
Meghalaya,2019,2,west khasi hills district,3012,4711717.239687435
Meghalaya,2019,3,north garo hills district,6329,7479871.090316384
Meghalaya,2019,3,south west khasi hills district,2009,2418047.871266484
Meghalaya,2019,3,west garo hills district,45652,90390851.32626869
Meghalaya,2019,3,south garo hills district,4768,7846736.258536675
Meghalaya,2019,3,east jaintia hills district,28604,50090916.581640005
Meghalaya,2019,3,south west garo hills district,6405,9676872.049848383
Meghalaya,2019,3,east khasi hills district,156970,344129503.4634751
Meghalaya,2019,3,east garo hills district,5970,8134689.123280492
Meghalaya,2019,3,ribhoi district,36292,73979318.03570686
Meghalaya,2019,3,west jaintia hills district,8947,11292434.23987686
Meghalaya,2019,3,west khasi hills district,4604,6779362.1133165285
Meghalaya,2019,4,north garo hills district,8449,11018090.11324269
Meghalaya,2019,4,south west khasi hills district,2753,4185672.1333535854
Meghalaya,2019,4,west garo hills district,51137,104063298.1853753
Meghalaya,2019,4,south garo hills district,7020,9901296.404344358
Meghalaya,2019,4,east jaintia hills district,31575,61615652.49744396
Meghalaya,2019,4,south west garo hills district,7301,11722163.479435438
Meghalaya,2019,4,east khasi hills district,189936,413649820.03102624
Meghalaya,2019,4,east garo hills district,7811,11523924.1048165
Meghalaya,2019,4,ribhoi district,42953,90622918.2855494
Meghalaya,2019,4,west jaintia hills district,11750,16126169.37307124
Meghalaya,2019,4,west khasi hills district,5296,8007467.18256015
Meghalaya,2020,1,north garo hills district,9622,11664668.29142583
Meghalaya,2020,1,south west khasi hills district,3516,5420604.457110439
Meghalaya,2020,1,west garo hills district,65263,130098803.74893941
Meghalaya,2020,1,south garo hills district,10483,11902327.50751782
Meghalaya,2020,1,east jaintia hills district,36855,76021760.04400355
Meghalaya,2020,1,south west garo hills district,10582,14322530.89024009
Meghalaya,2020,1,east khasi hills district,280817,712010339.1765578
Meghalaya,2020,1,east garo hills district,10003,15050504.87949769
Meghalaya,2020,1,ribhoi district,51789,109400759.4666921
Meghalaya,2020,1,west jaintia hills district,15784,22057088.945124794
Meghalaya,2020,1,west khasi hills district,7569,12185453.50070402
Meghalaya,2020,2,north garo hills district,19393,16949021.84509483
Meghalaya,2020,2,south west khasi hills district,5952,5344985.9066313775
Meghalaya,2020,2,west garo hills district,107355,178844205.7463917
Meghalaya,2020,2,south garo hills district,15934,18498464.712551523
Meghalaya,2020,2,east jaintia hills district,50077,79110098.89726548
Meghalaya,2020,2,south west garo hills district,20761,21835410.253734987
Meghalaya,2020,2,east khasi hills district,294655,669450297.8938913
Meghalaya,2020,2,east garo hills district,19865,19379120.25893038
Meghalaya,2020,2,ribhoi district,60451,108416383.15117331
Meghalaya,2020,2,west jaintia hills district,26041,22356066.44251103
Meghalaya,2020,2,west khasi hills district,14911,13551099.23022138
Meghalaya,2020,3,north garo hills district,17943,23618250.65693206
Meghalaya,2020,3,south west khasi hills district,5942,8330565.372560624
Meghalaya,2020,3,west garo hills district,117550,249575864.65120548
Meghalaya,2020,3,south garo hills district,17171,23368652.179516587
Meghalaya,2020,3,east jaintia hills district,52534,99669877.91499354
Meghalaya,2020,3,south west garo hills district,19536,31848167.46098628
Meghalaya,2020,3,east khasi hills district,239307,571789473.6065949
Meghalaya,2020,3,east garo hills district,19353,30405909.146166403
Meghalaya,2020,3,ribhoi district,64590,138771339.6540833
Meghalaya,2020,3,west jaintia hills district,28622,39860361.23642549
Meghalaya,2020,3,west khasi hills district,15031,19820539.503571283
Meghalaya,2020,4,north garo hills district,22048,36801863.778283074
Meghalaya,2020,4,south west khasi hills district,7330,18169052.92234368
Meghalaya,2020,4,west garo hills district,149536,362364387.9674451
Meghalaya,2020,4,south garo hills district,22487,34586748.62670687
Meghalaya,2020,4,east jaintia hills district,65059,162952261.01543322
Meghalaya,2020,4,south west garo hills district,24078,49584665.87626748
Meghalaya,2020,4,east khasi hills district,298622,777719090.1611657
Meghalaya,2020,4,east garo hills district,23262,41847990.16447668
Meghalaya,2020,4,ribhoi district,90879,223682008.0301527
Meghalaya,2020,4,west jaintia hills district,32267,55102701.17496341
Meghalaya,2020,4,west khasi hills district,18440,41431802.48173465
Meghalaya,2021,1,north garo hills district,18850,37908696.16305937
Meghalaya,2021,1,south west khasi hills district,6212,18881726.27814512
Meghalaya,2021,1,west garo hills district,133362,370492803.5429464
Meghalaya,2021,1,south garo hills district,19054,44351833.9562286
Meghalaya,2021,1,east jaintia hills district,70732,205454314.7964044
Meghalaya,2021,1,south west garo hills district,18591,41861206.69737828
Meghalaya,2021,1,east khasi hills district,322156,915771307.2291535
Meghalaya,2021,1,east garo hills district,18473,40212217.237080485
Meghalaya,2021,1,ribhoi district,98957,266571316.12978172
Meghalaya,2021,1,west jaintia hills district,24312,53826602.11269104
Meghalaya,2021,1,west khasi hills district,16947,60183253.846965134
Meghalaya,2021,2,north garo hills district,25028,37984069.23193223
Meghalaya,2021,2,south west khasi hills district,7218,17922261.88644618
Meghalaya,2021,2,west garo hills district,174186,437555569.84538835
Meghalaya,2021,2,south garo hills district,21894,48819031.95729189
Meghalaya,2021,2,east jaintia hills district,87223,205906820.910982
Meghalaya,2021,2,south west garo hills district,24491,47526700.898553595
Meghalaya,2021,2,east khasi hills district,386773,994348113.9313933
Meghalaya,2021,2,east garo hills district,24431,42603145.83447135
Meghalaya,2021,2,ribhoi district,111231,265892507.53668693
Meghalaya,2021,2,west jaintia hills district,30529,53732989.3560653
Meghalaya,2021,2,west khasi hills district,16590,41326043.50138933
Meghalaya,2021,3,north garo hills district,30790,56346103.94114271
Meghalaya,2021,3,south west khasi hills district,8524,20862237.488949507
Meghalaya,2021,3,west garo hills district,207635,550868915.1603698
Meghalaya,2021,3,south garo hills district,23378,50417337.27842516
Meghalaya,2021,3,east jaintia hills district,103142,254116660.0241707
Meghalaya,2021,3,south west garo hills district,28662,59140851.35546415
Meghalaya,2021,3,east khasi hills district,475308,1267820067.264946
Meghalaya,2021,3,east garo hills district,29654,54695590.9177565
Meghalaya,2021,3,ribhoi district,135524,337135306.8313167
Meghalaya,2021,3,west jaintia hills district,37590,71888903.26179789
Meghalaya,2021,3,west khasi hills district,17524,45708478.00363463
Meghalaya,2021,4,north garo hills district,38565,88113799.75521982
Meghalaya,2021,4,south west khasi hills district,12151,47472032.66584644
Meghalaya,2021,4,west garo hills district,261543,746098768.1324025
Meghalaya,2021,4,south garo hills district,28989,89662812.0439802
Meghalaya,2021,4,east jaintia hills district,140522,371541323.5123424
Meghalaya,2021,4,south west garo hills district,35153,76249072.06112294
Meghalaya,2021,4,east khasi hills district,602012,1647841435.793727
Meghalaya,2021,4,east garo hills district,37744,79675265.12123142
Meghalaya,2021,4,ribhoi district,210094,495239611.12453955
Meghalaya,2021,4,west jaintia hills district,43460,98276171.06270258
Meghalaya,2021,4,west khasi hills district,29960,108595108.913038
Meghalaya,2022,1,north garo hills district,42030,87894203.47088854
Meghalaya,2022,1,south west khasi hills district,14208,62450373.141422085
Meghalaya,2022,1,west garo hills district,325791,991586557.2279948
Meghalaya,2022,1,south garo hills district,43827,166412749.63292432
Meghalaya,2022,1,east jaintia hills district,169484,496156278.43872654
Meghalaya,2022,1,south west garo hills district,39644,98249285.49958463
Meghalaya,2022,1,east khasi hills district,653082,1762837936.312902
Meghalaya,2022,1,east garo hills district,42878,97659034.30770612
Meghalaya,2022,1,ribhoi district,257923,624403404.8028624
Meghalaya,2022,1,west jaintia hills district,49196,126597671.42735201
Meghalaya,2022,1,west khasi hills district,36687,148090837.0695271
Meghalaya,2022,2,north garo hills district,44965,92496675.79074751
Meghalaya,2022,2,south west khasi hills district,13571,49978363.076969974
Meghalaya,2022,2,west garo hills district,392151,1150602954.638953
Meghalaya,2022,2,south garo hills district,33680,92292848.0663783
Meghalaya,2022,2,east jaintia hills district,193196,502640751.7922024
Meghalaya,2022,2,south west garo hills district,43006,118240788.9357543
Meghalaya,2022,2,east khasi hills district,853333,2156500112.108344
Meghalaya,2022,2,east garo hills district,46150,106793207.7940663
Meghalaya,2022,2,ribhoi district,337102,755786725.0698186
Meghalaya,2022,2,west jaintia hills district,56272,152394109.7280838
Meghalaya,2022,2,west khasi hills district,31223,103764884.8834742
Meghalaya,2022,3,north garo hills district,48727,107884419.5564478
Meghalaya,2022,3,south west khasi hills district,13340,47102262.07706757
Meghalaya,2022,3,west garo hills district,508052,1283479556.413095
Meghalaya,2022,3,south garo hills district,35206,88310719.84102406
Meghalaya,2022,3,east jaintia hills district,241204,633317484.075039
Meghalaya,2022,3,south west garo hills district,48898,121831916.0453497
Meghalaya,2022,3,east khasi hills district,2924522,6137770373.209272
Meghalaya,2022,3,east garo hills district,47047,99390252.25463584
Meghalaya,2022,3,ribhoi district,400075,825278960.5336027
Meghalaya,2022,3,west jaintia hills district,62798,171112837.01348782
Meghalaya,2022,3,west khasi hills district,29296,87822016.10251653
Meghalaya,2022,4,north garo hills district,59149,130072498.39208941
Meghalaya,2022,4,south west khasi hills district,16773,61873256.010638215
Meghalaya,2022,4,west garo hills district,612945,1565478827.2720141
Meghalaya,2022,4,south garo hills district,47478,134393051.3773939
Meghalaya,2022,4,east jaintia hills district,252554,698736182.2686266
Meghalaya,2022,4,south west garo hills district,59231,150334364.8598402
Meghalaya,2022,4,east khasi hills district,2285868,4886013367.030626
Meghalaya,2022,4,east garo hills district,59445,143293321.81485862
Meghalaya,2022,4,ribhoi district,416100,855262410.3336376
Meghalaya,2022,4,west jaintia hills district,81501,229129661.89603102
Meghalaya,2022,4,west khasi hills district,41404,141954215.0929066
Meghalaya,2023,1,north garo hills district,97035,198957381.0
Meghalaya,2023,1,south west khasi hills district,34526,123121635.0
Meghalaya,2023,1,west garo hills district,1041221,2765563809.0
Meghalaya,2023,1,south garo hills district,95917,276701570.0
Meghalaya,2023,1,east jaintia hills district,515136,1371613773.0
Meghalaya,2023,1,south west garo hills district,112416,302145041.0
Meghalaya,2023,1,east khasi hills district,1220563,2680323809.0
Meghalaya,2023,1,east garo hills district,102374,230703822.0
Meghalaya,2023,1,ribhoi district,729560,1474982935.0
Meghalaya,2023,1,west jaintia hills district,134028,377216408.0
Meghalaya,2023,1,west khasi hills district,81929,283510432.0
Meghalaya,2023,2,north garo hills district,113361,215038091.0
Meghalaya,2023,2,south west khasi hills district,37376,127026105.0
Meghalaya,2023,2,west garo hills district,1313181,3093601156.0
Meghalaya,2023,2,south garo hills district,104600,273407662.0
Meghalaya,2023,2,east jaintia hills district,602439,1411515511.0
Meghalaya,2023,2,south west garo hills district,138973,324256480.0
Meghalaya,2023,2,east khasi hills district,1584287,3308371744.0
Meghalaya,2023,2,east garo hills district,119181,259323245.0
Meghalaya,2023,2,ribhoi district,849150,1540619034.0
